d/L0,d/L,H/H0',,,
0.0001 ,0.003990 ,4.467 ,,,
0.0002 ,0.005643 ,3.757 ,,Ã£±â,
0.0003 ,0.006912 ,3.395 ,,d/L0,H/H0'
0.0004 ,0.007982 ,3.160 ,,0.038,1.075
0.0005 ,0.008925 ,2.989 ,,0.03840 ,1.0726
0.0006 ,0.009778 ,2.856 ,,0.039,1.0690 
0.0007 ,0.01056 ,2.749 ,,,
0.0008 ,0.01129 ,2.659 ,,d/L0,H/H0'
0.0009 ,0.01198 ,2.582 ,,0.035,1.092
0.0010 ,0.01263 ,2.515 ,,0.0359,1.0866
0.0011 ,0.01325 ,2.456 ,,0.036,1.0860 
0.0012 ,0.01384 ,2.404 ,,,
0.0013 ,0.01440 ,2.357 ,,,
0.0014 ,0.01495 ,2.314 ,,,
0.0015 ,0.01548 ,2.275 ,,,
0.0016 ,0.01598 ,2.239 ,,,
0.0017 ,0.01648 ,2.205 ,,,
0.0018 ,0.01696 ,2.174 ,,,
0.0019 ,0.01743 ,2.145 ,,,
0.0020 ,0.01788 ,2.119 ,,,
0.0021 ,0.01832 ,2.094 ,,,
0.0022 ,0.01876 ,2.040 ,,,
0.0023 ,0.01918 ,2.047 ,,,
0.0024 ,0.01959 ,2.025 ,,,
0.0025 ,0.02000 ,2.005 ,,,
0.0026 ,0.02040 ,1.986 ,,,
0.0027 ,0.02079 ,1.967 ,,,
0.0028 ,0.02117 ,1.950 ,,,
0.0029 ,0.02155 ,1.933 ,,,
0.0030 ,0.02192 ,1.917 ,,,
0.0031 ,0.02228 ,1.902 ,,,
0.0032 ,0.02264 ,1.887 ,,,
0.0033 ,0.02230 ,1.873 ,,,
0.0034 ,0.02335 ,1.860 ,,,
0.0035 ,0.02369 ,1.847 ,,,
0.0036 ,0.02403 ,1.834 ,,,
0.0037 ,0.02436 ,1.822 ,,,
0.0038 ,0.02469 ,1.810 ,,,
0.0039 ,0.02502 ,1.799 ,,,
0.0040 ,0.02534 ,1.788 ,,,
0.0041 ,0.02566 ,1.777 ,,,
0.0042 ,0.02597 ,1.767 ,,,
0.0043 ,0.02628 ,1.756 ,,,
0.0044 ,0.02659 ,1.746 ,,,
0.0045 ,0.02689 ,1.737 ,,,
0.0046 ,0.02719 ,1.727 ,,,
0.0047 ,0.02749 ,1.718 ,,,
0.0048 ,0.02778 ,1.709 ,,,
0.0049 ,0.02807 ,1.701 ,,,
0.0050 ,0.02836 ,1.692 ,,,
0.0051 ,0.02864 ,1.684 ,,,
0.0052 ,0.02893 ,1.676 ,,,
0.0053 ,0.02921 ,1.669 ,,,
0.0054 ,0.02948 ,1.662 ,,,
0.0055 ,0.02976 ,1.654 ,,,
0.0056 ,0.03003 ,1.647 ,,,
0.0057 ,0.03030 ,1.640 ,,,
0.0058 ,0.03057 ,1.633 ,,,
0.0059 ,0.03083 ,1.626 ,,,
0.0060 ,0.03110 ,1.620 ,,,
0.0061 ,0.03136 ,1.614 ,,,
0.0062 ,0.03162 ,1.607 ,,,
0.0063 ,0.03188 ,1.601 ,,,
0.0064 ,0.03213 ,1.595 ,,,
0.0065 ,0.03238 ,1.589 ,,,
0.0066 ,0.03264 ,1.583 ,,,
0.0067 ,0.03289 ,1.578 ,,,
0.0068 ,0.03313 ,1.572 ,,,
0.0069 ,0.03338 ,1.567 ,,,
0.0070 ,0.03362 ,1.561 ,,,
0.0071 ,0.03387 ,1.556 ,,,
0.0072 ,0.03411 ,1.551 ,,,
0.0073 ,0.03435 ,1.546 ,,,
0.0074 ,0.03459 ,1.541 ,,,
0.0075 ,0.03482 ,1.536 ,,,
0.0076 ,0.03506 ,1.531 ,,,
0.0077 ,0.03529 ,1.526 ,,,
0.0078 ,0.03555 ,1.521 ,,,
0.0079 ,0.03576 ,1.517 ,,,
0.0080 ,0.03598 ,1.512 ,,,
0.0081 ,0.03621 ,1.508 ,,,
0.0082 ,0.03644 ,1.503 ,,,
0.0083 ,0.03666 ,1.499 ,,,
