id,file_name,x1_val,x2_val,x1-2_scale,x3_val,x4_val,x3-4_scale,y1_val,y2_val,y1-2_scale,x1_px,x2_px,x3_px,x4_px,x1-4_py,y1_py,y2_py,y1-2_px,x5_val,x6_val,x5-6_scale,y3_val,y4_val,y3-4_scale,x5_px,x6_px,x5-6_py,y3_py,y4_py,y3-4_px
1,v_1_30_0012.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,122,594,594,838,545,545,39,122,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1220,870,545,545,39,1220
2,v_1_30_0017.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,125,597,597,840,540,540,35,125,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1222,872,540,540,34,1222
3,v_1_30_0036.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,121,595,595,839,540,540,34,121,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1221,870,540,540,34,1221
4,v_1_10_0012.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,124,592,592,833,536,536,24,124,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1211,865,536,536,34,1211
5,v_1_10_0017.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,122,593,593,837,540,540,34,122,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1220,870,540,540,24,1220
6,v_1_10_0036.bmp,-0.5,2,linear,2,10,log,1.00E-06,2.00E-02,log,123,594,594,838,541,541,36,123,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1220,871,541,541,36,1220
7,s_1_30_0012.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,128,499,499,739,533,533,35,128,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1114,771,533,533,25,1114
8,s_1_30_0017.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,128,505,505,748,537,537,32,128,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1129,780,538,538,32,1129
9,s_1_30_0036.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,126,510,510,758,554,554,39,126,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1146,791,554,554,39,1146
10,s_1_10_0012.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,126,494,494,730,526,526,33,126,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1104,762,526,526,33,1104
11,s_1_10_0017.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,126,492,492,730,526,526,34,122,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1100,760,526,526,34,1100
12,s_1_10_0036.bmp,0,2,linear,2,10,log,1.00E-06,2.00E-02,log,122,489,489,725,526,526,36,122,1.00E-01,1.00E-04,log,1.00E-06,0.02,log,1097,757,526,526,36,1097
